         483838 function calls (463372 primitive calls) in 1.640 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      369    0.375    0.001    0.375    0.001 {method 'read' of '_io.BufferedReader' objects}
       31    0.147    0.005    0.149    0.005 {built-in method _imp.create_dynamic}
      369    0.129    0.000    0.129    0.000 {built-in method _io.open_code}
      369    0.079    0.000    0.079    0.000 {built-in method marshal.loads}
     1738    0.049    0.000    0.049    0.000 {built-in method posix.stat}
    31/30    0.047    0.002    0.067    0.002 {built-in method _imp.exec_dynamic}
 3174/272    0.041    0.000    0.125    0.000 _parser.py:512(_parse)
    476/1    0.032    0.000    1.641    1.641 {built-in method builtins.exec}
1043/1018    0.026    0.000    0.260    0.000 {built-in method builtins.__build_class__}
 3835/227    0.026    0.000    0.065    0.000 _compiler.py:37(_compile)
       35    0.021    0.001    0.021    0.001 {built-in method posix.listdir}
    54406    0.016    0.000    0.016    0.000 {method 'append' of 'list' objects}
52090/47524    0.015    0.000    0.017    0.000 {built-in method builtins.len}
      785    0.015    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
    43720    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
    21597    0.013    0.000    0.019    0.000 _parser.py:168(__getitem__)
      172    0.013    0.000    0.013    0.000 {built-in method builtins.compile}
      369    0.012    0.000    0.648    0.002 <frozen importlib._bootstrap_external>:1062(get_code)
      586    0.011    0.000    0.027    0.000 <frozen importlib._bootstrap>:304(acquire)
      780    0.011    0.000    0.017    0.000 _compiler.py:243(_optimize_charset)
      369    0.011    0.000    0.092    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
 1183/227    0.011    0.000    0.127    0.001 _parser.py:452(_parse_sub)
     4208    0.010    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      116    0.010    0.000    0.010    0.000 {built-in method posix.getcwd}
    20113    0.009    0.000    0.009    0.000 _parser.py:240(__next)
 3908/477    0.009    0.000    0.014    0.000 _parser.py:178(getwidth)
    13563    0.008    0.000    0.014    0.000 _parser.py:261(get)
    431/2    0.008    0.000    1.641    0.820 <frozen importlib._bootstrap>:1349(_find_and_load)
      427    0.008    0.000    0.144    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
1287/1135    0.008    0.000    0.014    0.000 {built-in method __new__ of type object at 0x10beba2b0}
     4001    0.007    0.000    0.015    0.000 typing.py:1169(__setattr__)
      369    0.007    0.000    0.007    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.007    0.007    0.058    0.058 dammit.py:70(_populate_class_variables)
      472    0.007    0.000    0.010    0.000 css_types.py:41(__init__)
     1265    0.006    0.000    0.017    0.000 typing.py:175(_type_check)
     2655    0.006    0.000    0.006    0.000 {method 'match' of 're.Pattern' objects}
      738    0.006    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
     8036    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      632    0.005    0.000    0.028    0.000 typing.py:1223(__init__)
      227    0.005    0.000    0.217    0.001 _compiler.py:740(compile)
     5744    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
      586    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap>:124(setdefault)
       99    0.005    0.000    0.005    0.000 {built-in method builtins.eval}
      297    0.005    0.000    0.227    0.001 __init__.py:280(_compile)
2513/2370    0.005    0.000    0.070    0.000 typing.py:378(inner)
      136    0.005    0.000    0.005    0.000 css_parser.py:357(__init__)
    403/2    0.005    0.000    1.640    0.820 <frozen importlib._bootstrap>:911(_load_unlocked)
    430/2    0.005    0.000    1.641    0.820 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
