         483736 function calls (463287 primitive calls) in 1.759 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    54389    0.017    0.000    0.017    0.000 {method 'append' of 'list' objects}
52056/47507    0.016    0.000    0.018    0.000 {built-in method builtins.len}
    43703    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
    21580    0.012    0.000    0.018    0.000 _parser.py:168(__getitem__)
    20113    0.010    0.000    0.010    0.000 _parser.py:240(__next)
    13563    0.008    0.000    0.014    0.000 _parser.py:261(get)
     9679    0.004    0.000    0.004    0.000 {built-in method builtins.min}
     9585    0.004    0.000    0.009    0.000 _parser.py:256(match)
     9154    0.004    0.000    0.004    0.000 {method 'rstrip' of 'str' objects}
     8878    0.005    0.000    0.006    0.000 _parser.py:164(__len__)
     8036    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
     7202    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     7155    0.005    0.000    0.005    0.000 {built-in method builtins.getattr}
     6338    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
     5820    0.004    0.000    0.004    0.000 {method 'endswith' of 'str' objects}
     5744    0.006    0.000    0.006    0.000 {method 'join' of 'str' objects}
     5627    0.003    0.000    0.006    0.000 _parser.py:176(append)
     4477    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     4420    0.004    0.000    0.008    0.000 typing.py:1117(_is_dunder)
     4412    0.002    0.000    0.002    0.000 _parser.py:113(__init__)
     4208    0.009    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     4001    0.007    0.000    0.014    0.000 typing.py:1169(__setattr__)
     3965    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
 3908/477    0.008    0.000    0.013    0.000 _parser.py:178(getwidth)
 3835/227    0.026    0.000    0.066    0.000 _compiler.py:37(_compile)
     3729    0.002    0.000    0.004    0.000 _parser.py:293(tell)
3320/3311    0.003    0.000    0.011    0.000 {built-in method builtins.hasattr}
     3313    0.003    0.000    0.003    0.000 {method 'rpartition' of 'str' objects}
 3174/272    0.048    0.000    0.134    0.000 _parser.py:512(_parse)
     3094    0.003    0.000    0.006    0.000 {built-in method builtins.max}
     3048    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
     2718    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
     2718    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     2655    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
     2640    0.001    0.000    0.002    0.000 typing.py:1233(__eq__)
2513/2370    0.005    0.000    0.076    0.000 typing.py:378(inner)
2458/1734    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
     2251    0.001    0.000    0.004    0.000 css_parser.py:305(match)
     1879    0.002    0.000    0.004    0.000 {built-in method builtins.setattr}
     1869    0.001    0.000    0.001    0.000 typing.py:1227(<genexpr>)
     1738    0.041    0.000    0.041    0.000 {built-in method posix.stat}
     1738    0.003    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1703    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1703    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1226(__exit__)
     1644    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1476    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
     1350    0.001    0.000    0.012    0.000 typing.py:166(_type_convert)
     1348    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
1287/1135    0.010    0.000    0.017    0.000 {built-in method __new__ of type object at 0x10b1662b0}
     1273    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:645(parent)
     1265    0.007    0.000    0.020    0.000 typing.py:175(_type_check)
 1203/869    0.001    0.000    0.003    0.000 typing.py:1239(__hash__)
 1183/227    0.013    0.000    0.136    0.001 _parser.py:452(_parse_sub)
     1173    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
     1173    0.001    0.000    0.001    0.000 {method '__exit__' of '_thread.RLock' objects}
     1155    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
     1149    0.001    0.000    0.001    0.000 {built-in method posix.fspath}
     1141    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1127    0.001    0.000    0.001    0.000 {built-in method from_bytes}
     1107    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
     1046    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
1043/1018    0.030    0.000    0.284    0.000 {built-in method builtins.__build_class__}
     1040    0.002    0.000    0.003    0.000 _parser.py:312(_class_escape)
     1038    0.001    0.000    0.001    0.000 typing.py:1546(__eq__)
      951    0.001    0.000    0.001    0.000 _parser.py:83(groups)
      919    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      919    0.000    0.000    0.001    0.000 typing.py:918(__eq__)
    914/4    0.003    0.000    1.756    0.439 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      906    0.001    0.000    0.008    0.000 typing.py:709(<genexpr>)
      900    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1466(_path_importer_cache)
      894    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
      874    0.001    0.000    0.002    0.000 _parser.py:372(_escape)
      865    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      836    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      834    0.001    0.000    0.003    0.000 _compiler.py:398(_simple)
      785    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      785    0.018    0.000    0.081    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
      780    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
      780    0.013    0.000    0.019    0.000 _compiler.py:243(_optimize_charset)
      769    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap>:632(cached)
      750    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      750    0.002    0.000    0.003    0.000 _parser.py:449(_uniq)
      749    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
      738    0.005    0.000    0.010    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      738    0.006    0.000    0.021    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      731    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
      711    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      666    0.002    0.000    0.006    0.000 typing.py:262(_collect_parameters)
      663    0.001    0.000    0.001    0.000 {method 'pop' of 'dict' objects}
      636    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      632    0.006    0.000    0.028    0.000 typing.py:1223(__init__)
      632    0.002    0.000    0.010    0.000 typing.py:1130(__init__)
      586    0.001    0.000    0.001    0.000 {method 'remove' of 'list' objects}
      586    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
      586    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:74(__new__)
      586    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:79(__init__)
      586    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:82(remove)
      586    0.006    0.000    0.012    0.000 <frozen importlib._bootstrap>:124(setdefault)
      586    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      586    0.002    0.000    0.014    0.000 <frozen importlib._bootstrap>:162(__enter__)
      586    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
      586    0.007    0.000    0.026    0.000 <frozen importlib._bootstrap>:304(acquire)
      586    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap>:372(release)
      586    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
