         387429 function calls (368993 primitive calls) in 1.033 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      193    0.226    0.001    0.226    0.001 {method 'read' of '_io.BufferedReader' objects}
       27    0.134    0.005    0.134    0.005 {built-in method _imp.create_dynamic}
    27/26    0.092    0.003    0.114    0.004 {built-in method _imp.exec_dynamic}
 3253/209    0.043    0.000    0.128    0.001 _parser.py:512(_parse)
      193    0.038    0.000    0.038    0.000 {built-in method marshal.loads}
 4047/198    0.027    0.000    0.068    0.000 _compiler.py:37(_compile)
        1    0.026    0.026    0.026    0.026 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      193    0.022    0.000    0.022    0.000 {built-in method _io.open_code}
     1052    0.021    0.000    0.021    0.000 {built-in method posix.stat}
    23678    0.016    0.000    0.022    0.000 _parser.py:168(__getitem__)
    54953    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
51224/46399    0.014    0.000    0.016    0.000 {built-in method builtins.len}
  547/544    0.014    0.000    0.172    0.000 {built-in method builtins.__build_class__}
  649/623    0.013    0.000    0.018    0.000 {built-in method __new__ of type object at 0x1065c52b0}
      920    0.012    0.000    0.019    0.000 _compiler.py:243(_optimize_charset)
 1233/198    0.010    0.000    0.130    0.001 _parser.py:452(_parse_sub)
    15074    0.008    0.000    0.014    0.000 _parser.py:261(get)
 4066/390    0.008    0.000    0.014    0.000 _parser.py:178(getwidth)
    30000    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
       92    0.008    0.000    0.008    0.000 {built-in method posix.getcwd}
    22331    0.008    0.000    0.008    0.000 _parser.py:240(__next)
      527    0.008    0.000    0.040    0.000 <frozen importlib._bootstrap_external>:1590(find_spec)
        1    0.007    0.007    0.051    0.051 dammit.py:70(_populate_class_variables)
     2743    0.005    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      193    0.005    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      472    0.005    0.000    0.007    0.000 css_types.py:41(__init__)
    11664    0.005    0.000    0.007    0.000 _parser.py:256(match)
      193    0.004    0.000    0.314    0.002 <frozen importlib._bootstrap_external>:1062(get_code)
    10210    0.004    0.000    0.004    0.000 {built-in method builtins.min}
      242    0.004    0.000    0.064    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      265    0.004    0.000    0.226    0.001 __init__.py:280(_compile)
     9664    0.004    0.000    0.006    0.000 _parser.py:164(__len__)
        4    0.004    0.001    0.004    0.001 {built-in method _ssl.txt2obj}
     2527    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
    245/2    0.004    0.000    1.034    0.517 <frozen importlib._bootstrap>:1349(_find_and_load)
        1    0.004    0.004    0.004    0.004 __init__.py:76(BeautifulSoup)
    195/1    0.003    0.000    1.034    1.034 {built-in method builtins.exec}
      193    0.003    0.000    0.003    0.000 {method '__exit__' of '_io._IOBase' objects}
     5913    0.003    0.000    0.005    0.000 _parser.py:176(append)
      285    0.003    0.000    0.010    0.000 <frozen importlib._bootstrap>:304(acquire)
      905    0.003    0.000    0.004    0.000 _parser.py:449(_uniq)
       21    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
       16    0.003    0.000    0.008    0.001 enum.py:1682(convert_class)
      386    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
      837    0.003    0.000    0.003    0.000 _parser.py:372(_escape)
       18    0.003    0.000    0.003    0.000 {built-in method builtins.eval}
     5844    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
      285    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4220    0.002    0.000    0.003    0.000 _parser.py:293(tell)
      327    0.002    0.000    0.002    0.000 enum.py:837(__setattr__)
      270    0.002    0.000    0.002    0.000 _compiler.py:386(_mk_bitmap)
     4014    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     5872    0.002    0.000    0.002    0.000 {method 'rstrip' of 'str' objects}
3336/3268    0.002    0.000    0.002    0.000 {method 'join' of 'str' objects}
    244/2    0.002    0.000    1.034    0.517 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     7601    0.002    0.000    0.002    0.000 {built-in method builtins.ord}
      325    0.002    0.000    0.009    0.000 css_parser.py:1085(selector_iter)
      920    0.002    0.000    0.003    0.000 _compiler.py:216(_compile_charset)
       59    0.002    0.000    0.002    0.000 {built-in method builtins.compile}
     3752    0.002    0.000    0.002    0.000 {method 'find' of 'bytearray' objects}
      131    0.002    0.000    0.004    0.000 _compiler.py:467(_get_charset_prefix)
      285    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:124(setdefault)
      239    0.002    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1488(_get_spec)
    517/4    0.002    0.000    1.029    0.257 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
       18    0.002    0.000    0.005    0.000 __init__.py:355(namedtuple)
     1397    0.002    0.000    0.003    0.000 _parser.py:172(__setitem__)
      223    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
     2840    0.002    0.000    0.003    0.000 {built-in method builtins.max}
      198    0.002    0.000    0.218    0.001 _compiler.py:740(compile)
      198    0.002    0.000    0.014    0.000 _compiler.py:511(_compile_info)
     1077    0.002    0.000    0.003    0.000 _parser.py:312(_class_escape)
      285    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:372(release)
      193    0.002    0.000    0.253    0.001 <frozen importlib._bootstrap_external>:1183(get_data)
    223/2    0.002    0.000    1.032    0.516 <frozen importlib._bootstrap>:911(_load_unlocked)
    52/14    0.002    0.000    0.031    0.002 css_parser.py:905(parse_selectors)
     2904    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2622    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      220    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
     4726    0.001    0.000    0.001    0.000 _parser.py:113(__init__)
       31    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
    193/2    0.001    0.000    1.032    0.516 <frozen importlib._bootstrap_external>:989(exec_module)
       23    0.001    0.000    2.204    0.096 __init__.py:1(<module>)
      386    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
     1737    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      396    0.001    0.000    0.002    0.000 enum.py:1541(__and__)
     2251    0.001    0.000    0.005    0.000 css_parser.py:305(match)
     2886    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      193    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:666(_classify_pyc)
       10    0.001    0.000    0.007    0.001 enum.py:906(_convert_)
     3826    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      198    0.001    0.000    0.132    0.001 _parser.py:969(parse)
      285    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      182    0.001    0.000    0.005    0.000 typing.py:175(_type_check)
       77    0.001    0.000    0.009    0.000 css_parser.py:459(parse_attribute_selector)
      905    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      579    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      285    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
      220    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1585(_get_spec)
